created_at;text;user;quote_count;reply_count;retweet_count;favorite_count;lang
2020-08-10 23:34:44+00:00;Here are your July 2020 real estate stats for Toronto! DM if you would like detailed stats for your specific area o… https://t.co/33NT0I1MaS;Christian Matthews;0;0;0;0;en
2020-08-10 23:02:10+00:00;"Donna Bulika - Real Estate Salesperson &amp; Investor ~ With over 15 years of experience in the Toronto, Ontario real e… https://t.co/k27OfGuLin";WOBC Canada;0;0;0;0;en
2020-08-10 23:00:02+00:00;"#Followback RT:GostevegRT Gosteveg: Real Estate News
https://t.co/HxsmEULCi9
#realestatenews #whitby #toronto… https://t.co/G0yhX1ZE54";Teri Meacham;0;0;0;0;en
2020-08-10 22:43:47+00:00;Toronto is getting a new highway piercing the Greenbelt. People don't like where it'll be located  It's a planning,… https://t.co/sIRzgBhhbS;Harold Smith;0;0;0;0;en
2020-08-10 22:34:03+00:00;"RT @nowtoronto: A legendary after-hours Toronto venue could soon be reborn in a mixed-use development at Yonge and Gerrard.
https://t.co/WH…";Bill Smith;0;0;0;0;en
2020-08-10 22:23:03+00:00;"RT @NarcityCanada: An Church For Sale In Ontario Is Only $80,000 &amp; You Can Do So Much With It
https://t.co/kgd7wgIF9d
#Narcity #Canada #News";TiTaNiUm4-22;0;0;0;0;en
2020-08-10 22:11:49+00:00;The Greater Toronto Area’s housing market seems almost immune to the crippling economic effects of COVID-19 right n… https://t.co/hNiNhRXaIl;Alejandra Ballestrin;0;0;0;0;en
2020-08-10 22:09:21+00:00;The Greater Toronto Area’s housing market seems almost immune to the crippling economic effects of COVID-19 right n… https://t.co/yoClTDWMO0;Khodayar Arshadi, Tampa Executive Realty;0;0;0;0;en
2020-08-10 22:08:50+00:00;@lisamarieLML People pay exorbitant real estate prices in Toronto for the privilege of all of this. 🤦‍♀️😤;Karl W Brand;0;0;0;1;en
2020-08-10 22:01:53+00:00;"An Church For Sale In Ontario Is Only $80,000 &amp; You Can Do So Much With It
https://t.co/kgd7wgIF9d
#Narcity #Canada #News";Narcity Canada;0;0;1;1;en
